Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://www.booking.com/index.ar.html?aid=2311236;label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609:pl:ta:p1:p2:ac:ap:neg:fi:tikwd-334108349:lp9076989:li:dec:dm;ws=&gclid=CjwKCAjwscGjBhAXEiwAswQqNJIA-KUVx-VahTQDVPv1abxAMn43aclgKdbxrOw6HBmXq9EzbRsP5hoCzmcQAvD_BwE,25,11263,4778,29358,8656.86,4.00%,0.04353,337.86,1.84,7948200.2
https://www.bing.com/api/shopping/v1/savings/domains/topDeals,100,779,198,2926,456.65,0.00%,0.15346,71.41,0.07,476506.7
https://www.booking.com/c360/v1/track,450,261,162,1701,139.41,0.00%,0.68233,0.74,1.68,1116.9
https://www.booking.com/dml/graphql?aid=2311236&label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&ws=&gclid=CjwKCAjwscGjBhAXEiwAswQqNJIA-KUVx-VahTQDVPv1abxAMn43aclgKdbxrOw6HBmXq9EzbRsP5hoCzmcQAvD_BwE&lang=ar,175,199,135,714,79.14,100.00%,0.31555,0.3,0.52,970.2
https://collector-pxikkul2rm.px-cloud.net/api/v2/collector,300,213,89,1281,151.27,0.00%,0.45625,0.34,1.69,769.1
https://www.booking.com/87sduif98q3rijax?d=www.booking.com,100,202,127,623,75.51,0.00%,0.15482,0.17,0.23,1116.3
https://accounts.google.com/gsi/log?client_id=901905703382-m88jn1h9ll89odkt6t5muc6h7ep83rlh.apps.googleusercontent.com&as=8Vx5BDpbWs59pKP74j8WLw&event=onetap.card.prompt.cooldown.1,25,325,113,751,171.61,100.00%,0.04529,0.12,0.03,2782
https://gtm-mktg.booking.com/g/collect?v=2&tid=G-A12345&gtm=45je35o0&_p=612730469&gcs=G1--&cid=1515642662.1685104415&ul=en-us&sr=1366x768&uaa=x86&uab=64&uafvl=Microsoft%2520Edge%3B113.0.1774.42%7CChromium%3B113.0.5672.93%7CNot-A.Brand%3B24.0.0.0&uamb=0&uam=&uap=Windows&uapv=10.0.0&uaw=0&sst.uc=SA&sst.rnd=438893516.1685105251&sst.gcd=G1--&_s=1&sid=1685104419&sct=1&seg=1&dl=https%3A%2F%2Fwww.booking.com%2Findex.ar.html%3Faid%3D2311236%3Blabel%3Dar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm%3Bws%3D%26gclid%3DCjwKCAjwscGjBhAXEiwAswQqNJIA-KUVx-VahTQDVPv1abxAMn43aclgKdbxrOw6HBmXq9EzbRsP5hoCzmcQAvD_BwE&dt=Booking.com%20%7C%20%D8%A7%D9%84%D9%85%D9%88%D9%82%D8%B9%20%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A%20%7C%20%D8%A3%D9%81%D8%B6%D9%84%20%D8%A7%D9%84%D9%81%D9%86%D8%A7%D8%AF%D9%82%20%D9%88%D8%B1%D8%AD%D9%84%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B7%D9%8A%D8%B1%D8%A7%D9%86%20%D9%88%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%A3%D8%AC%D8%B1%D8%A9%20%D9%88%D8%A3%D9%85%D8%A7%D9%83%D9%86%20%D8%A7%D9%84%D8%A5%D9%82%D8%A7%D9%85%D8%A9&en=page_view&ep.is_aid_mcc_level_tracked=&ep.cd_action=index&ep.n_b=&richsstsse,25,414,98,1041,233.29,0.00%,0.04522,0.02,0.09,398
https://ct.pinterest.com/user/?tid=2612859132799&pd=%7B%22np%22%3A%22gtm%22%2C%22em%22%3A%221bad6b8cf97131fceab8543e81f7757195fbb1d36b376ee994ad1cf17699c464%22%2C%22pin_unauth%22%3A%22dWlkPVl6Vm1NMkpqTkdJdFlUWmxNeTAwWkdGakxXRTNObVl0WkRNME1qWm1NV1V5WWprNQ%22%7D&cb=1685105251631&dep=2%2CPAGE_LOAD,25,323,172,660,113.78,0.00%,0.04517,0.05,0.03,1147
https://ct.pinterest.com/user/?event=pagevisit&ed=%7B%22np%22%3A%22gtm%22%2C%22line_items%22%3A%5B%7B%22product_id%22%3A%220%22%2C%22product_category%22%3A%22hotel%22%7D%5D%7D&tid=2612859132799&cb=1685105251633&dep=5%2CEVENT_TAGS_ABSENT,25,202,165,435,56.75,0.00%,0.0452,0.05,0.02,1147
https://www.booking.com/js_tracking?ref_action=index&ver=2&stype=1&lang=ar&pid=381459eecf0d001d&ete=&etg=www_index_search_button_click&etcg=&ets=&etgwv=,25,172,120,390,62.98,0.00%,0.04511,0.03,0.06,733
https://www.booking.com/searchresults.ar.html?ss=%D8%B9%D9%85%D9%91%D8%A7%D9%86&ssne=%D8%B9%D9%85%D9%91%D8%A7%D9%86&ssne_untouched=%D8%B9%D9%85%D9%91%D8%A7%D9%86&label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&aid=2311236&lang=ar&sb=1&src_elem=sb&src=index&dest_id=-970362&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure,25,9348,4731,20959,4541.26,0.00%,0.04432,297.54,2.25,6873980.1
https://accounts.google.com/gsi/log?client_id=901905703382-m88jn1h9ll89odkt6t5muc6h7ep83rlh.apps.googleusercontent.com&as=eZ9MzusbbipRU5XFk1KPJw&event=onetap.card.prompt.cooldown.1,25,185,97,454,90.81,100.00%,0.04527,0.12,0.03,2782
https://www.booking.com/dml/graphql?ss=%D8%B9%D9%85%D9%91%D8%A7%D9%86&ssne=%D8%B9%D9%85%D9%91%D8%A7%D9%86&ssne_untouched=%D8%B9%D9%85%D9%91%D8%A7%D9%86&label=ar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm&aid=2311236&lang=ar&sb=1&src_elem=sb&src=index&dest_id=-970362&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure,50,192,131,677,92.68,100.00%,0.09037,0.09,0.17,970.6
https://www.booking.com/fl/exposed,50,239,160,650,92.48,0.00%,0.08611,0.11,0.31,1332.6
https://gtm-mktg.booking.com/g/collect?v=2&tid=G-A12345&gtm=45je35o0&_p=2046318219&gcs=G1--&cid=1515642662.1685104415&ul=en-us&sr=1366x768&uaa=x86&uab=64&uafvl=Microsoft%2520Edge%3B113.0.1774.42%7CChromium%3B113.0.5672.93%7CNot-A.Brand%3B24.0.0.0&uamb=0&uam=&uap=Windows&uapv=10.0.0&uaw=0&sst.uc=SA&sst.rnd=976035093.1685105262&sst.gcd=G1--&_s=1&sid=1685104419&sct=1&seg=1&dl=https%3A%2F%2Fwww.booking.com%2Fsearchresults.ar.html%3Fss%3D%25D8%25B9%25D9%2585%25D9%2591%25D8%25A7%25D9%2586%26ssne%3D%25D8%25B9%25D9%2585%25D9%2591%25D8%25A7%25D9%2586%26ssne_untouched%3D%25D8%25B9%25D9%2585%25D9%2591%25D8%25A7%25D9%2586%26label%3Dar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%253Apl%253Ata%253Ap1%253Ap2%253Aac%253Aap%253Aneg%253Afi%253Atikwd-334108349%253Alp9076989%253Ali%253Adec%253Adm%26aid%3D2311236%26lang%3Dar%26sb%3D1%26src_elem%3Dsb%26src%3Dindex%26dest_id%3D-970362%26dest_type%3Dcity%26group_adults%3D2%26no_rooms%3D1%26group_children%3D0%26sb_travel_purpose%3Dleisure&dr=https%3A%2F%2Fwww.booking.com%2Findex.ar.html%3Faid%3D2311236%3Blabel%3Dar-sa-booking-desktop-IyFh7yg6wThIk5WP9zqMsQS652897958609%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-334108349%3Alp9076989%3Ali%3Adec%3Adm%3Bws%3D%26gclid%3DCjwKCAjwscGjBhAXEiwAswQqNJIA-KUVx-VahTQDVPv1abxAMn43aclgKdbxrOw6HBmXq9EzbRsP5hoCzmcQAvD_BwE&dt=Booking.com%20%3A%20%D9%81%D9%86%D8%A7%D8%AF%D9%82%20%D9%81%D9%8A%20%D8%B9%D9%85%D9%91%D8%A7%D9%86%20.%20%D8%A7%D8%AD%D8%AC%D8%B2%20%D9%81%D9%86%D8%AF%D9%82%D9%83%20%D8%A7%D9%84%D8%A2%D9%86!&en=page_view&ep.is_aid_mcc_level_tracked=&ep.cd_action=searchresults&ep.n_b=&richsstsse,25,198,97,653,146.84,0.00%,0.0453,0.02,0.11,398
